# raindata from George Works
date,mm
5/5/2009,12.7
9/5/2009,10.2
12/5/2009,3.8
13/5/2009,15.2
14/5/2009,5.1
18/5/2009,38.1
19/5/2009,38.1
21/5/2009,2.5
22/5/2009,3.8
3/6/2009,6.4
6/6/2009,2.5
10/6/2009,1.3
12/6/2009,3.8
16/6/2009,15.2
20/6/2009,12.7
24/6/2009,10.2
5/7/2009,12.7
6/7/2009,15.2
9/7/2009,6.4
11/7/2009,1.3
12/7/2009,3.8
13/7/2009,2.5
14/7/2009,25.4
15/7/2009,3.8
17/7/2009,1.3
18/7/2009,1.3
19/7/2009,10.2
26/7/2009,6.4
27/7/2009,2.5
28/7/2009,6.4
5/8/2009,1.3
13/8/2009,17.8
17/8/2009,25.4
19/8/2009,1.3
24/8/2009,12.7
26/8/2009,19.1
28/8/2009,2.5
29/8/2009,7.6
2/9/2009,17.8
4/9/2009,2.5
5/9/2009,20.3
12/9/2009,2.5
14/9/2009,15.2
16/9/2009,2.5
20/9/2009,2.5
29/9/2009,3.8
1/10/2009,1.3
2/10/2009,2.5
15/10/2009,31.8
18/10/2009,5.1
19/10/2009,2.5
26/10/2009,2.5
30/10/2009,20.3
31/10/2009,31.8
4/11/2009,7.6
9/11/2009,3.8
10/11/2009,2.5
11/11/2009,10.2
15/11/2009,10.2
18/11/2009,12.7
20/11/2009,22.9
22/11/2009,2.5
28/11/2009,33
3/12/2009,12.7
7/12/2009,10.2
10/12/2009,12.7
11/12/2009,7.6
12/12/2009,6.4
15/12/2009,5.1
19/12/2009,10.2
26/12/2009,114.3
1/1/2010,10.2
16/1/2010,2.5
18/1/2010,22.9
20/1/2010,2.5
22/1/2010,2.5
25/1/2010,15.2
21/2/2010,10.2
22/2/2010,5.1
24/2/2010,38.1
8/3/2010,7.6
9/3/2010,2.5
10/3/2010,20.3
11/3/2010,38.1
12/3/2010,2.5
11/4/2010,3.8
13/4/2010,2.5
14/4/2010,2.5
18/4/2010,7.6
26/4/2010,6.4
1/5/2010,3.8
7/5/2010,12.7
13/5/2010,12.7
14/5/2010,7.6
15/5/2010,7.6
16/5/2010,17.8
17/5/2010,17.8
18/5/2010,12.7
26/5/2010,101.6
28/5/2010,22.9
30/5/2010,7.6
31/5/2010,2.5
8/6/2010,2.5
12/6/2010,15.2
13/6/2010,2.5
16/6/2010,2.5
20/6/2010,27.9
25/6/2010,12.7
26/6/2010,16.5
27/6/2010,5.1
6/7/2010,12.7
9/7/2010,2.5
14/7/2010,7.6
15/7/2010,1.3
16/7/2010,25.4
17/7/2010,10.2
18/7/2010,10.2
19/7/2010,33
20/7/2010,45.7
21/7/2010,50.8
22/7/2010,6.4
31/7/2010,5.1
3/8/2010,17.8
10/8/2010,7.6
11/8/2010,146.1
22/8/2010,12.7
25/8/2010,12.7
31/8/2010,101.6
5/9/2010,5.1
15/9/2010,15.2
16/9/2010,5.1
22/9/2010,5.1
24/9/2010,5.1
29/9/2010,2.5
2/10/2010,20.3
3/10/2010,7.6
5/10/2010,12.7
6/10/2010,76.2
7/10/2010,76.2
8/10/2010,139.7
16/10/2010,63.5
28/10/2010,10.2
31/10/2010,25.4
1/11/2010,12.7
3/11/2010,19.1
5/11/2010,25.4
6/11/2010,6.4
8/11/2010,6.4
9/11/2010,19.1
10/11/2010,6.4
12/11/2010,12.7
13/11/2010,12.7
18/11/2010,5.1
22/11/2010,2.5
23/11/2010,20.3
24/11/2010,2.5
27/11/2010,2.5
8/12/2010,19.1
9/12/2010,25.4
15/12/2010,7.6
17/12/2010,12.7
22/12/2010,2.5
30/12/2010,5.1
31/12/2010,2.5
4/1/2011,5.1
5/1/2011,5.1
12/1/2011,5.1
13/1/2011,2.5
16/1/2011,12.7
22/1/2011,15.2
23/1/2011,5.1
6/2/2011,10.2
7/2/2011,5.1
9/2/2011,5.1
12/2/2011,2.5
15/2/2011,2.5
21/2/2011,12.7
23/2/2011,5.1
4/3/2011,12.7
19/3/2011,12.7
29/3/2011,1.3
30/3/2011,12.7
8/4/2011,12.7
9/4/2011,5.1
17/4/2011,10.2
21/4/2011,2.5
25/4/2011,2.5
26/4/2011,10.2
27/4/2011,2.5
28/4/2011,2.5
30/4/2011,2.5
1/5/2011,5.1
9/5/2011,7.6
10/5/2011,12.7
11/5/2011,2.5
12/5/2011,5.1
14/5/2011,55.9
15/5/2011,2.5
16/5/2011,6.4
17/5/2011,2.5
21/5/2011,20.3
30/5/2011,2.5
3/6/2011,5.1
6/6/2011,7.6
7/6/2011,2.5
8/6/2011,12.7
9/6/2011,5.1
12/6/2011,17.8
15/6/2011,5.1
